,testde_1,testde_2,camelsde_111740,camelsde_111630
1984-07-23,,0.19167137,,0.3723085
1984-07-24,,0.034093857,,0.12056565
1984-07-25,,1.222214,,1.8507144
1984-07-26,,4.030453,,9.357437
1984-07-27,,2.5033174,,2.879042
1984-07-28,,3.8742852,,4.7025537
1984-07-29,,0.7808492,,1.2592038
1984-07-30,,0.1214993,,0.14690804
1984-07-31,,3.2559295,,0.8282881
1984-08-01,,12.959765,,7.631258
1984-08-02,,0.660836,,0.56922555
1984-08-03,,0.6997645,,0.33912563
1984-08-04,,8.177034,,6.8485065
1984-08-05,,5.57417,,7.0408735
1984-08-06,,1.8954432,,1.9426849
1984-08-07,,1.4637663,,1.9877205
1984-08-08,,1.6890246,,1.9279091
1984-08-09,,2.6820655,,4.852307
1984-08-10,,6.548462,,8.576064
1984-08-11,,8.232987,,8.592375
1984-08-12,,2.0832076,,3.5325134
1984-08-13,,0.63026786,,0.650815
1984-08-14,,0.5204227,,0.7009573
1984-08-15,,0.63751316,,0.72430897
1984-08-16,,0.14077282,,0.68284774
1984-08-17,,0.18733954,,0.36523628
1984-08-18,,0.16984534,,0.31639957
1984-08-19,,0.20709229,,0.32207704
1984-08-20,,0.16753268,,0.26191616
1984-08-21,,0.034137964,,0.20750713
1984-08-22,,0.09013724,,0.24635386
1984-08-23,,0.2801013,,0.2785902
1984-08-24,,2.2736888,,2.1831808
1984-08-25,,4.186754,,6.458324
1984-08-26,,6.3816786,,8.038459
1984-08-27,,2.2765675,,1.5528579
1984-08-28,,0.4267211,,0.2580328
1984-08-29,,0.56672454,,0.7560985
1984-08-30,,1.9772252,,1.5058109
1984-08-31,,0.72094727,,0.7778735
1984-09-01,,0.41364932,,0.58563924
1984-09-02,,0.7875776,,0.9573041
1984-09-03,,1.2711496,,1.0961747
1984-09-04,,3.3586488,,2.2911549
1984-09-05,,14.616822,,16.611225
1984-09-06,,3.0768743,,4.219779
1984-09-07,,8.987921,,3.2434793
1984-09-08,,14.592759,,5.206418
1984-09-09,,20.197353,,14.057409
1984-09-10,,8.579993,,7.7698135
1984-09-11,,4.152486,,3.9427311
1984-09-12,,5.435015,,2.927805
1984-09-13,,2.9656773,,2.0509944
1984-09-14,,1.9258478,,2.5712557
1984-09-15,,10.239102,,14.696422
1984-09-16,,4.173378,,5.739233
1984-09-17,,2.4096296,,4.087935
1984-09-18,,1.2739059,,1.5971571
1984-09-19,,0.8081808,,0.8966501
1984-09-20,,1.8239092,,1.6297735
1984-09-21,,2.9169278,,2.2570107
1984-09-22,,4.557722,,5.2357774
1984-09-23,,6.498505,,3.916428
1984-09-24,,5.6810045,,6.0107937
1984-09-25,,4.035179,,6.8869085
1984-09-26,,4.913638,,6.2579045
1984-09-27,,1.669442,,2.5826092
1984-09-28,,1.0111525,,1.0190008
1984-09-29,,0.27113724,,0.2699752
1984-09-30,,1.641298,,1.0756354
1984-10-01,,2.1591954,,1.4751726
1984-10-02,,9.176792,,10.180745
1984-10-03,,2.1752307,,1.7930818
1984-10-04,,2.0804825,,2.1082885
1984-10-05,,1.0885272,,0.704381
1984-10-06,,6.5269723,,1.6594126
1984-10-07,,3.513833,,1.5333314
1984-10-08,,3.752441,,1.4653676
1984-10-09,,1.9120443,,1.0389274
1984-10-10,,1.5515411,,0.91682756
1984-10-11,,1.4406387,,1.2527344
1984-10-12,,1.0029265,,0.8858582
1984-10-13,,0.9819758,,1.345564
1984-10-14,,0.17039037,,0.214993
1984-10-15,,1.0502124,,1.949391
1984-10-16,,0.43850684,,0.6618948
1984-10-17,,0.16081834,,0.16239905
1984-10-18,,0.48988175,,0.32795548
1984-10-19,,0.5687051,,0.4424374
1984-10-20,,0.9540744,,0.47115445
1984-10-21,,0.6244526,,1.3990669
1984-10-22,,0.97528195,,0.60557294
1984-10-23,,1.5010544,0.9333048,1.0349933
1984-10-24,,1.3255566,1.0678139,1.5526699
1984-10-25,,1.5235195,0.49886107,0.5927739
1984-10-26,,2.7411702,2.1465476,2.7343936
1984-10-27,,0.71356535,0.78534174,0.9715618
1984-10-28,,0.268847,0.2224865,0.25941896
1984-10-29,,0.36931443,0.28778577,0.2955644
1984-10-30,,0.2955408,0.33753252,0.31461835
1984-10-31,,0.19975162,0.16889,0.17095613
1984-11-01,,0.21028018,0.24980903,0.25607228
1984-11-02,,0.29482055,0.36902213,0.37960315
1984-11-03,,0.5885782,0.47269964,0.46817136
1984-11-04,,0.9683274,1.6298878,1.2112651
1984-11-05,,0.25528097,0.54594207,0.4693823
1984-11-06,,0.19787264,0.20364118,0.20944667
1984-11-07,,0.89910126,0.6334741,0.62948084
1984-11-08,,0.3649845,0.40270996,0.30588722
1984-11-09,,0.08692026,0.17819881,0.1762588
1984-11-10,,0.42067432,0.5494168,0.4449358
1984-11-11,,0.2815523,0.28720522,0.23846817
1984-11-12,,0.4012382,0.45994043,0.37190294
1984-11-13,,0.36032867,0.30291343,0.30776978
1984-11-14,,0.45822406,0.3714261,0.41985846
1984-11-15,,0.9301045,1.0749633,1.4373662
1984-11-16,,0.652895,0.9516922,1.1509724
1984-11-17,,0.8359945,0.78637123,1.0382475
1984-11-18,,1.2875357,0.6900475,1.0924516
1984-11-19,,0.605613,0.57000875,0.66628194
1984-11-20,,2.4895277,1.9538836,1.6697917
1984-11-21,,8.092877,5.415427,4.03706
1984-11-22,,18.540895,13.050419,12.217695
1984-11-23,,8.002754,8.605297,9.391379
1984-11-24,,4.4585743,3.5577588,4.097498
1984-11-25,,3.2110853,1.9509499,2.6059134
1984-11-26,,4.2219024,3.3460445,3.8666344
1984-11-27,,1.8018476,1.7025054,2.0676968
1984-11-28,,0.34498835,0.24806738,0.3140943
1984-11-29,,0.42589188,0.23346257,0.2546804
1984-11-30,,0.29390168,0.31093645,0.31537056
1984-12-01,,0.24764395,0.2113061,0.24060702
1984-12-02,,1.2123048,0.7053199,0.8541658
1984-12-03,,1.1218375,1.6245444,1.7874484
1984-12-04,,0.82244134,0.5897682,0.5789454
1984-12-05,,0.72543406,0.6295347,0.5477483
1984-12-06,,0.25625587,0.16339469,0.1684084
1984-12-07,,1.1126066,1.2712753,1.1414087
1984-12-08,,0.7412455,0.6634774,0.76616025
1984-12-09,,2.9705727,1.9956136,2.1273742
1984-12-10,,3.1552289,3.4398723,3.316691
1984-12-11,,0.52615285,0.30465007,0.40768933
1984-12-12,,0.83799267,0.8765156,1.0838304
1984-12-13,,2.1279678,1.8273026,1.8464862
1984-12-14,,6.838873,8.587075,8.266605
1984-12-15,,1.3853108,2.7751558,3.1278841
1984-12-16,,2.0932765,2.376974,2.3748207
1984-12-17,,2.5982444,2.2958398,2.801646
1984-12-18,,3.4426498,6.1521564,6.1722064
1984-12-19,,1.8973712,5.192566,4.8925867
1984-12-20,,4.287738,1.5006274,1.6186059
1984-12-21,,8.599224,4.736128,4.425355
1984-12-22,,1.65619,1.7447153,2.0817864
1984-12-23,,2.9671252,0.8941189,1.1517719
1984-12-24,,2.8917565,0.44357038,0.5617852
1984-12-25,,3.1107912,2.0906458,2.4529238
1984-12-26,,1.0922275,0.6898515,0.68510795
1984-12-27,,1.3916205,1.2076161,1.0764934
1984-12-28,,0.94767535,1.6528182,1.6755674
1984-12-29,,0.44938135,1.3289022,1.1471709
1984-12-30,,1.2718685,1.1281499,0.92512107
1984-12-31,,1.1229466,1.3095361,1.0137131
1985-01-01,,3.3608842,2.856271,2.2976496
1985-01-02,,4.579963,6.2897916,6.3544645
1985-01-03,,1.8645372,2.337491,3.1724315
1985-01-04,,0.5886347,0.7910371,1.0245074
1985-01-05,,0.8198991,1.1055924,1.1696658
1985-01-06,,0.65638256,0.58699155,1.1020918
1985-01-07,,0.6607301,0.4278314,1.0835903
1985-01-08,,0.4155798,0.3461783,0.8288834
1985-01-09,,1.0799481,0.46650958,0.9599483
1985-01-10,,0.39843178,0.23370314,0.40270805
1985-01-11,,0.7225454,0.52603793,0.950341
1985-01-12,,3.4606814,2.613817,3.3546708
1985-01-13,,0.31352115,0.28459573,0.40262508
1985-01-14,,0.2859497,0.39563346,0.5034833
1985-01-15,,0.43341756,0.4488809,0.6033685
1985-01-16,,2.6991556,2.5243173,2.921351
1985-01-17,,0.865072,1.2454906,1.6529118
1985-01-18,,0.73611903,0.98396456,1.3033943
1985-01-19,,3.5218194,2.2920556,2.9299762
1985-01-20,,2.0354424,1.7860651,1.9365661
1985-01-21,,1.4656019,1.8925737,1.6754572
1985-01-22,,3.036385,7.6438427,5.7572613
1985-01-23,,6.507862,9.722052,8.923791
1985-01-24,,1.3081161,1.9142084,1.8006613
1985-01-25,,1.6840898,1.6313735,1.7262156
1985-01-26,,5.6922665,5.5290136,7.506736
1985-01-27,,7.164361,4.8828125,4.972286
1985-01-28,,1.4741099,1.3670232,1.1744843
1985-01-29,,3.4046197,1.9788343,2.0203605
1985-01-30,,8.964897,5.3868947,5.3543863
1985-01-31,,12.364099,4.7563086,5.3872776
1985-02-01,,19.295858,12.4282255,11.407106
1985-02-02,,5.3001137,3.4400325,2.6419404
1985-02-03,,2.9820673,2.8400557,1.969051
1985-02-04,,0.22859263,0.0148768425,0.03764391
1985-02-05,,0.48862672,0.24025369,0.17951202
1985-02-06,,2.666588,5.1242075,4.186357
1985-02-07,,2.17548,2.9149776,2.5088139
1985-02-08,,5.8677826,5.014109,3.1982458
1985-02-09,,8.596415,10.003953,8.449968
1985-02-10,,1.119208,3.7029524,3.1296701
1985-02-11,,-0.013070583,0.20012665,0.28778338
1985-02-12,,-0.062305212,-0.08532047,-0.32782626
1985-02-13,,-0.060482502,0.035111904,-0.8565607
1985-02-14,,2.2507021,3.9565678,3.395853
1985-02-15,,0.54265857,1.3835292,1.7929544
1985-02-16,,0.086787224,0.22700262,0.47904277
1985-02-17,,-0.026802778,0.071753025,0.24659038
1985-02-18,,0.075694084,0.2657807,0.2565074
1985-02-19,,0.05275488,0.14292836,0.023648024
1985-02-20,,0.013857603,0.12301803,0.35889888
1985-02-21,,0.36659813,0.31580067,0.6711376
1985-02-22,,1.2599007,1.5540211,2.945324
1985-02-23,,0.8734646,0.7098739,0.8480027
1985-02-24,,1.4726036,2.1586118,1.2372127
1985-02-25,,0.568697,0.51754785,0.47147202
1985-02-26,,0.980296,0.8600993,0.83178973
1985-02-27,,0.5596862,0.71120644,0.68595695
1985-02-28,,1.0918341,0.9231336,0.9731698
1985-03-01,,1.9233661,1.251953,1.5219196
1985-03-02,,6.680846,6.81759,5.7339697
1985-03-03,,2.1502454,1.2456298,1.2204839
1985-03-04,,2.7039616,0.89027715,1.0429146
1985-03-05,,2.7887442,1.6753956,1.5090625
1985-03-06,,2.102074,2.443473,1.9035156
1985-03-07,,1.4291646,1.9123902,1.450448
1985-03-08,,1.0662189,2.3086815,1.2229942
1985-03-09,,1.7530694,2.1585698,1.7672793
1985-03-10,,1.2455274,1.8415877,1.7834469
1985-03-11,,1.3314041,1.1185625,1.0755646
1985-03-12,,0.6674335,1.3975451,1.2268021
1985-03-13,,0.80965877,0.83589125,0.82559395
1985-03-14,,5.0475636,2.4685967,2.3412788
1985-03-15,,2.7659442,1.8508633,2.205975
1985-03-16,,1.9072273,1.1975439,1.2875689
1985-03-17,,3.7937517,4.6824875,4.0766573
1985-03-18,,3.6302545,8.4636,7.5027266
1985-03-19,,2.957579,2.9201765,3.124674
1985-03-20,,1.6959418,1.0269208,1.2291557
1985-03-21,,0.93230367,1.2650437,1.5230929
1985-03-22,,0.5133443,1.5055914,1.8712016
1985-03-23,,0.66063523,2.701613,2.7506826
1985-03-24,,0.48341966,0.80296135,0.78265333
1985-03-25,,0.87217784,0.76162505,0.8380289
1985-03-26,,1.2390915,1.3862445,1.3190732
1985-03-27,,5.1244826,3.6674447,3.8665695
1985-03-28,,2.4805765,2.6003969,2.797237
1985-03-29,,2.4289882,2.6699035,3.416658
1985-03-30,,0.5865474,0.26658416,0.3588698
1985-03-31,,4.025359,2.2792203,2.2691844
1985-04-01,,1.4289254,1.0355468,1.1376253
1985-04-02,,1.563381,0.9751651,1.0907838
1985-04-03,,0.87530375,0.5567696,0.7036607
1985-04-04,,0.09918046,0.1780808,0.20774317
1985-04-05,,1.026067,0.4666803,0.50063205
1985-04-06,,3.2629144,2.3296814,2.336408
1985-04-07,,1.8739585,0.96003175,1.2745521
1985-04-08,,1.6185657,1.8779551,2.5518026
1985-04-09,,3.5924544,4.7768254,4.1628294
1985-04-10,,1.1639258,1.8027357,1.8074491
1985-04-11,,1.4643122,1.305709,1.282495
1985-04-12,,4.238687,3.9283452,3.09646
1985-04-13,,6.6647334,6.713981,6.3421073
1985-04-14,,5.202812,3.715366,4.175117
1985-04-15,,5.800215,6.6841307,7.919202
1985-04-16,,6.041398,6.0418606,4.7884707
1985-04-17,,1.1863521,1.4521807,1.325758
1985-04-18,,-0.06946945,0.19290543,0.17554665
1985-04-19,,0.06488228,0.15136242,0.16641021
1985-04-20,,0.4231465,0.29677796,0.33476615
1985-04-21,,0.30963302,0.41866994,0.47157693
1985-04-22,,0.13171625,0.26839375,0.25686502
1985-04-23,,3.6459823,2.6862078,2.291134
1985-04-24,,1.2829814,2.7281258,2.5927036
1985-04-25,,1.0881201,0.7558756,0.8596027
1985-04-26,,2.504747,3.122012,2.8641481
1985-04-27,,4.8055887,4.736993,4.165303
1985-04-28,,2.9720232,5.767002,6.53584
1985-04-29,,2.080471,2.7034461,2.902927
1985-04-30,,3.706048,4.480723,4.178568
1985-05-01,,3.1964996,5.2273216,5.524091
1985-05-02,,7.138894,11.186102,11.033758
1985-05-03,,3.9120917,6.0260506,5.3349876
1985-05-04,,1.496938,1.5136559,1.5026357
1985-05-05,,1.2453421,1.6787478,1.6138517
1985-05-06,,0.15525699,0.2274208,0.25508618
1985-05-07,,2.1431684,1.8547646,1.8988312
1985-05-08,,1.6920911,2.739538,2.3332114
1985-05-09,,2.539478,3.817976,4.4468713
1985-05-10,,1.3181695,1.8030763,1.9993871
1985-05-11,,0.52111053,0.45982432,0.55644965
1985-05-12,,0.11659527,0.2163887,0.25359535
1985-05-13,,3.8152962,1.726079,1.7634113
1985-05-14,,1.1274183,1.3655722,1.3864394
1985-05-15,,2.905538,3.8616085,4.085983
1985-05-16,,2.2065303,2.8087752,2.5381944
1985-05-17,,2.4783835,4.1252527,4.0704603
1985-05-18,,3.7324235,10.349272,9.649562
1985-05-19,,9.8205,12.695326,14.05581
1985-05-20,,3.9154646,2.565442,2.2787886
1985-05-21,,17.462658,15.17065,15.172178
1985-05-22,,5.018731,5.7107964,4.9376526
1985-05-23,,3.3464048,2.3790984,1.940101
1985-05-24,,0.5525682,0.49947882,0.36640406
1985-05-25,,0.4293239,0.34412384,0.395303
1985-05-26,,0.2067647,0.46999812,0.582407
1985-05-27,,1.6665976,2.9063187,3.9495137
1985-05-28,,7.7857294,12.409321,11.477378
1985-05-29,,27.050928,25.4527,24.437819
1985-05-30,,4.702667,3.230757,2.5745752
1985-05-31,,0.10301018,0.24689865,0.18049908
1985-06-01,,0.9423852,0.6275511,0.63631773
1985-06-02,,-0.00076055527,0.89460063,0.815115
1985-06-03,,0.007297516,0.68088627,0.7898681
1985-06-04,,0.3350985,0.26413965,0.26280355
1985-06-05,,1.8044597,2.3781602,1.8127197
1985-06-06,,2.5640507,8.028337,5.8859854
1985-06-07,,5.4716253,11.154204,11.4803915
1985-06-08,,2.8782241,5.023019,4.8306293
1985-06-09,,3.1072009,4.4733987,4.3291497
1985-06-10,,8.182492,6.8479633,8.341627
1985-06-11,,1.4922847,2.1462836,2.058989
1985-06-12,,1.3468698,2.1455793,1.8817148
1985-06-13,,1.2152754,1.8449693,2.3723898
1985-06-14,,0.59663486,0.5378816,0.58397865
1985-06-15,,1.0714185,4.044568,4.561707
1985-06-16,,0.5700505,1.284232,1.4296802
1985-06-17,,0.48187137,0.71631765,0.7919078
1985-06-18,,0.47477865,0.65724134,0.5179682
1985-06-19,,2.0374322,0.9256104,0.5551212
1985-06-20,,10.570796,7.887903,5.9039583
1985-06-21,,3.3979225,3.5857654,5.2076826
1985-06-22,,2.0992239,3.2320523,2.8593593
1985-06-23,,1.323498,1.8983873,2.1678052
1985-06-24,,6.1377487,7.33601,6.8842955
1985-06-25,,4.156596,6.487488,6.3185377
1985-06-26,,3.3878217,3.6626234,4.335532
1985-06-27,,1.6570357,1.3923824,1.4755517
1985-06-28,,3.463571,1.4310029,1.5554084
1985-06-29,,2.238227,1.8000125,1.8199303
1985-06-30,,0.7612896,0.4515512,0.47992134
1985-07-01,,6.147915,7.7667055,6.418002
1985-07-02,,4.426448,4.436869,5.0093412
1985-07-03,,0.12636185,0.16320062,0.19216537
1985-07-04,,-0.14393806,-0.005200386,0.036491156
1985-07-05,,0.12958455,0.2570927,0.16064
1985-07-06,,4.802328,10.421271,8.127283
1985-07-07,,0.122495174,1.3510152,1.0400351
1985-07-08,,0.5253303,0.86683226,0.8136852
1985-07-09,,1.832734,1.193358,1.4150839
1985-07-10,,4.3820233,1.5741148,1.5893184
1985-07-11,,0.9024619,0.5904677,0.62201524
1985-07-12,,0.47591996,0.59302425,0.6323333
1985-07-13,,0.12802482,0.36211133,0.35421562
1985-07-14,,0.19162011,0.145504,0.2688663
1985-07-15,,1.70463,4.905198,3.5663502
1985-07-16,,2.983171,4.373391,3.136493
1985-07-17,,0.34451485,0.72859883,0.8251283
1985-07-18,,0.972615,0.73305345,0.7313235
1985-07-19,,6.722151,6.9086304,6.367985
1985-07-20,,2.3842096,3.2857168,3.9524536
1985-07-21,,0.6283133,1.38418,1.5773162
1985-07-22,,0.49736714,0.4293301,0.5125065
1985-07-23,,1.1926835,0.9382534,1.2991832
1985-07-24,,0.12903023,0.24175096,0.26009083
1985-07-25,,0.120021105,0.17179704,0.16875291
1985-07-26,,0.6827555,0.50165796,0.51588225
1985-07-27,,0.8416109,2.230672,1.8999648
1985-07-28,,1.8520142,1.1085397,0.9979223
1985-07-29,,11.745176,9.027276,8.515723
1985-07-30,,0.9667572,1.9801438,1.8821948
1985-07-31,,2.2884798,3.5287776,4.264049
1985-08-01,,1.8046746,2.6433537,3.4482546
1985-08-02,,1.0327785,2.2163148,2.4211962
1985-08-03,,0.7002938,0.77871037,0.77501345
1985-08-04,,1.1961912,3.6301084,3.1644478
1985-08-05,,0.50439715,0.8675158,0.8410547
1985-08-06,,3.1676009,10.104448,9.552856
1985-08-07,,0.501441,1.7780612,1.9712324
1985-08-08,,1.7811828,2.647676,3.927241
1985-08-09,,0.26097727,0.35058308,0.4326203
1985-08-10,,1.8028241,3.7158933,3.694639
1985-08-11,,0.59682274,0.8602953,0.8928838
1985-08-12,,1.0545161,1.9770648,2.4159245
1985-08-13,,0.77792525,1.0922341,1.3293034
1985-08-14,,0.29996347,0.3195281,0.34938765
1985-08-15,,2.3019495,2.1104245,2.179312
1985-08-16,,5.344309,6.1272936,5.634442
1985-08-17,,1.4513626,1.820425,1.7758822
1985-08-18,,0.8290949,1.4431324,1.4296806
1985-08-19,,1.5694196,0.8722534,1.2438842
1985-08-20,,7.05869,3.7136068,4.608745
1985-08-21,,0.8693211,0.4519353,0.55310416
1985-08-22,,0.8012545,0.40420032,0.40629244
1985-08-23,,3.0364623,2.7028985,2.2378514
1985-08-24,,1.7430834,0.7710991,0.714695
1985-08-25,,9.241644,12.462816,11.566037
1985-08-26,,1.0523381,3.7125044,2.9774191
1985-08-27,,1.1255082,1.3200696,1.3970323
1985-08-28,,0.118290186,0.46114492,0.41898513
1985-08-29,,0.02977562,0.08263779,0.17356515
1985-08-30,,0.11611438,0.15635657,0.25496197
1985-08-31,,0.21808553,0.31383514,0.32682085
1985-09-01,,1.6556802,5.288327,3.1314058
1985-09-02,,0.28118396,0.5285256,0.28202176
1985-09-03,,7.8158607,7.778943,8.933056
1985-09-04,,5.3475,7.280326,7.969222
1985-09-05,,11.382497,8.458483,9.104227
1985-09-06,,1.3144547,5.5220904,4.8763614
1985-09-07,,0.5430248,0.6959839,0.7208402
1985-09-08,,3.0497568,2.0501661,2.1633124
1985-09-09,,2.972599,2.598015,2.3074913
1985-09-10,,0.26950788,0.3295989,0.30481577
1985-09-11,,0.18824124,0.2674048,0.28512287
1985-09-12,,0.17603397,0.20895696,0.2359705
1985-09-13,,0.28870797,0.28379822,0.28749156
1985-09-14,,2.4027991,2.6936107,3.024437
1985-09-15,,2.1692133,5.0526295,4.3171844
1985-09-16,,0.809288,2.4695144,2.496218
1985-09-17,,1.3476375,1.8011732,2.2526908
1985-09-18,,1.0247835,1.3826501,1.4230007
1985-09-19,,0.122196436,0.116264105,0.0878644
1985-09-20,,0.41863942,0.53794813,0.43161654
1985-09-21,,0.72642803,1.0185505,0.7314186
1985-09-22,,0.22836876,0.22687364,0.24750376
1985-09-23,,0.9573722,0.7939472,0.9041381
1985-09-24,,0.6788833,1.5634954,1.2399104
1985-09-25,,0.24773455,0.38524938,0.3867147
1985-09-26,,0.18703794,0.23827004,0.23935938
1985-09-27,,0.14959216,0.14268088,0.168993
1985-09-28,,0.1797576,0.20051599,0.20047092
1985-09-29,,0.3333788,0.31072474,0.28212
1985-09-30,,0.16452074,0.123910904,0.14904451
1985-10-01,,0.29577017,0.30855846,0.2876954
1985-10-02,,1.2734098,0.72865844,0.84739304
1985-10-03,,0.17007518,0.12245226,0.10673165
1985-10-04,,0.3222754,0.2751603,0.28965902
1985-10-05,,2.6837254,3.2782528,2.3175817
1985-10-06,,2.6533964,3.0841484,2.4653916
1985-10-07,,0.7047303,0.9430672,1.0286403
1985-10-08,,0.66131854,0.41607475,0.4152398
1985-10-09,,0.74045444,0.7520149,0.6951034
1985-10-10,,1.2523462,1.5917492,2.8874252
1985-10-11,,0.2508993,0.23867917,0.36642504
1985-10-12,,1.8861489,2.0546455,2.4436982
1985-10-13,,0.28886032,0.34553504,0.43586373
1985-10-14,,0.7643511,0.52940536,0.78122425
1985-10-15,,6.197914,4.2128553,4.6839128
1985-10-16,,0.9073303,0.5120156,0.8402493
1985-10-17,,3.0541701,0.37073922,1.4511917
1985-10-18,,0.8056228,0.38646007,0.5103078
1985-10-19,,2.2099278,1.960845,1.7908925
1985-10-20,,0.112207174,0.183779,0.18860054
1985-10-21,,0.03011322,0.030066013,0.03916526
1985-10-22,,0.34557915,0.3981831,0.44083834
1985-10-23,,0.051177263,0.18943763,0.21433663
1985-10-24,,-0.025847673,-0.0629015,-0.0051066875
1985-10-25,,0.038359165,0.02373457,0.05925417
1985-10-26,,0.16226912,0.26277184,0.21564937
1985-10-27,,0.15265012,0.13627124,0.15635276
1985-10-28,,1.2879888,0.8176799,2.1747446
1985-10-29,,0.47567177,0.7206862,1.549245
1985-10-30,,0.23936248,0.4138925,0.4925778
1985-10-31,,0.8773372,0.48475456,0.44424796
1985-11-01,,1.4970313,2.076722,1.2875036
1985-11-02,,4.006093,4.825072,2.6427345
1985-11-03,,0.5689311,2.6345391,1.9555199
1985-11-04,,0.5098846,0.97427285,0.97460616
1985-11-05,,3.6914835,7.3828993,8.907471
1985-11-06,,1.2792246,6.6288223,5.768301
1985-11-07,,3.4238362,3.0183606,3.069306
1985-11-08,,6.837234,3.5596852,3.5365195
1985-11-09,,4.2671595,6.874627,5.8025513
1985-11-10,,2.74643,8.531569,10.380455
1985-11-11,,0.61658454,1.22312,1.169877
1985-11-12,,1.0455885,0.8696513,0.88193893
1985-11-13,,1.181467,1.5587565,1.4996665
1985-11-14,,0.6314459,0.6367433,0.64901304
1985-11-15,,0.26409054,0.3078444,0.3237748
1985-11-16,,0.26374102,0.3843789,0.3532622
1985-11-17,,0.21057653,0.44071913,0.3756969
1985-11-18,,0.10525584,0.35937858,0.27996087
1985-11-19,,0.84744287,1.3692418,1.001041
1985-11-20,,1.8633468,3.655436,2.2175014
1985-11-21,,3.9721782,4.5010567,5.285635
1985-11-22,,2.941857,1.8782774,3.2393594
1985-11-23,,1.1759264,0.82359624,0.6915419
1985-11-24,,1.5910219,2.5097103,1.9654768
1985-11-25,,1.0798779,2.7756104,3.6334445
1985-11-26,,0.70899844,2.5382497,2.9557045
1985-11-27,,0.8076055,0.7057147,0.75442505
1985-11-28,,1.6354967,1.5542128,1.3073367
1985-11-29,,2.275372,1.626324,1.0949694
1985-11-30,,10.817909,5.2763577,4.203989
1985-12-01,,2.98099,3.5709226,4.7965956
1985-12-02,,1.0516211,1.2140528,1.8644485
1985-12-03,,1.4748338,1.0201724,1.0436869
1985-12-04,,3.1446981,2.9273663,2.7190983
1985-12-05,,1.6292163,0.6061504,0.66501594
1985-12-06,,3.331412,2.6492405,2.4691586
1985-12-07,,9.711763,4.0921955,4.4086237
1985-12-08,,7.1787624,2.6534007,4.0707006
1985-12-09,,3.992884,2.653713,2.7183092
1985-12-10,,4.359802,5.147889,4.541105
1985-12-11,,2.8049498,2.7469115,2.8811965
1985-12-12,,1.5263882,1.8842764,1.9127719
1985-12-13,,0.59668875,0.54310226,0.57340074
1985-12-14,,2.3630695,2.110628,2.2088954
1985-12-15,,1.4387981,1.8237118,1.8192594
1985-12-16,,1.9435916,2.1941884,1.9182627
1985-12-17,,2.8219743,1.8090403,1.6120232
1985-12-18,,5.502835,5.2251987,4.1297197
1985-12-19,,0.83952403,6.3108573,6.280011
1985-12-20,,1.4114091,2.3362064,3.6931045
1985-12-21,,0.30286288,0.44691014,0.5244634
1985-12-22,,0.18272543,0.20915675,0.2923236
1985-12-23,,0.7658696,0.476063,0.49666643
1985-12-24,,0.872602,0.47709775,0.5471854
1985-12-25,,2.0778859,2.477276,1.8112091
1985-12-26,,1.0605891,0.6247575,0.62343216
1985-12-27,,3.1115768,1.2983422,1.3284557
1985-12-28,,14.893516,18.957483,17.048624
1985-12-29,,4.148566,9.608523,9.665832
1985-12-30,,2.0689955,3.7620552,2.871518
1985-12-31,,0.9340186,0.5216565,0.48104262
1986-01-01,,1.7419454,0.8509619,1.0272093
1986-01-02,,2.8282557,1.0403488,1.4751228
1986-01-03,,2.299547,0.30579305,0.55911136
1986-01-04,,4.0062675,0.9840671,2.008174
1986-01-05,,2.3423107,0.79193354,1.0672239
1986-01-06,,1.6804873,1.0323275,0.99199295
1986-01-07,,2.0624385,2.2972455,2.1961856
1986-01-08,,2.3034565,1.3536377,1.5668784
1986-01-09,,3.2628024,2.9252515,2.5766106
1986-01-10,,4.0792747,3.988615,3.385872
1986-01-11,,10.752072,12.805002,12.20586
1986-01-12,,7.551549,4.22052,4.738501
1986-01-13,,20.568398,12.655121,12.458542
1986-01-14,,16.095287,14.781592,17.251965
1986-01-15,,8.249817,7.344784,8.6587105
1986-01-16,,4.618819,6.273295,5.0860586
1986-01-17,,3.1584504,5.8977103,3.9284337
1986-01-18,,15.134011,16.072802,14.172749
1986-01-19,,17.438702,8.85149,11.791449
1986-01-20,,1.7214683,1.4145674,1.4471895
1986-01-21,,1.3807726,0.5457642,0.6204927
1986-01-22,,3.6570709,1.9414237,2.2676148
1986-01-23,,14.604563,11.38725,13.724728
1986-01-24,,10.39346,9.080396,8.27408
1986-01-25,,3.1223903,2.9667852,2.715222
1986-01-26,,2.2841144,3.851457,3.087375
1986-01-27,,1.8145345,2.2825456,1.9836704
1986-01-28,,1.9936204,2.1640394,1.8119282
1986-01-29,,0.90310895,0.7442465,0.52457833
1986-01-30,,0.66496277,0.7330134,0.51719713
1986-01-31,,0.30234408,0.47302222,0.33285236
1986-02-01,,1.0237687,1.2043898,1.0992885
1986-02-02,,0.8834013,1.7853516,1.2640563
1986-02-03,,0.5506339,0.8490355,0.75497484
1986-02-04,,0.63535833,0.49581814,0.7190242
1986-02-05,,1.0715013,0.52300644,0.6778016
1986-02-06,,1.3074769,1.1566348,0.97271335
1986-02-07,,0.564471,0.66102433,0.57787466
1986-02-08,,0.2660768,0.25855923,0.2676425
1986-02-09,,0.8246367,0.6800132,0.7449918
